Delay Network.node[5].app (#0 - General-0-20190604-21:23:33-8154),,PacketKind Network.node[5].app (#0 - General-0-20190604-21:23:33-8154),,HopCount Network.node[5].app (#0 - General-0-20190604-21:23:33-8154),
3.899460388484,3.000899999999999662,3.899460388484,0,3.899460388484,0
4.860504212075,3.000899999999999662,4.860504212075,2,4.860504212075,0
4.899460388484,3.07767686852900012,4.899460388484,0,4.899460388484,0
5.860504212075,3.213698860017999857,5.860504212075,2,5.860504212075,0
6.773628855839,3.000300000000000175,6.773628855839,0,6.773628855839,0
7.52606940626,3.000300000000000175,7.52606940626,2,7.52606940626,0
7.773628855839,3.449251513330000112,7.773628855839,0,7.773628855839,0
8.564228706924,3.000300000000000175,8.564228706924,2,8.564228706924,0
8.773628855839,3.47224508693699983,8.773628855839,0,8.773628855839,0
9.564228706924,3.424780803116999707,9.564228706924,2,9.564228706924,0
9.773628855839,3.987116923214999865,9.773628855839,0,9.773628855839,0
10.773628855839,4.63395778407699941,10.773628855839,0,10.773628855839,0
11.363272325843,3.000300000000000175,11.363272325843,2,11.363272325843,0
11.773628855839,5.575573114983999515,11.773628855839,0,11.773628855839,0
12.363272325843,3.681943859157999362,12.363272325843,2,12.363272325843,0
12.773628855839,3.260660835056000002,12.773628855839,0,12.773628855839,0
13.363272325843,4.198341754210000317,13.363272325843,2,13.363272325843,0
14.082164138406,3.000300000000000175,14.082164138406,0,14.082164138406,0
14.363272325843,4.548895405958999632,14.363272325843,2,14.363272325843,0
15.082164138406,3.247625886686999577,15.082164138406,0,15.082164138406,0
15.363272325843,3.876684205633999607,15.363272325843,2,15.363272325843,0
16.082164138406,3.408193033786999655,16.082164138406,0,16.082164138406,0
16.363272325843,4.222801638412999362,16.363272325843,2,16.363272325843,0
17.363272325843,4.72392962939700032,17.363272325843,2,17.363272325843,0
17.482640368894,3.000300000000000175,17.482640368894,0,17.482640368894,0
18.363272325843,3.125675543547999687,18.363272325843,2,18.363272325843,0
18.482640368894,3.926614644534999405,18.482640368894,0,18.482640368894,0
19.363272325843,4.105249955148998692,19.363272325843,2,19.363272325843,0
19.482640368894,4.51503664829199989,19.482640368894,0,19.482640368894,0
20.363272325843,4.646001817893999665,20.363272325843,2,20.363272325843,0
20.482640368894,5.42387562216799955,20.482640368894,0,20.482640368894,0
21.363272325843,3.85851415445499944,21.363272325843,2,21.363272325843,0
21.482640368894,5.37926311385999864,21.482640368894,0,21.482640368894,0
22.363272325843,3.352729895817999392,22.363272325843,2,22.363272325843,0
22.482640368894,3.229093185183999452,22.482640368894,0,22.482640368894,0
23.363272325843,4.20149904215299939,23.363272325843,2,23.363272325843,0
24.294739399622,3.000300000000000175,24.294739399622,0,24.294739399622,0
24.363272325843,3.161184784210999675,24.363272325843,2,24.363272325843,0
25.294739399622,3.358590827321999745,25.294739399622,0,25.294739399622,0
26.541688129362,3.000300000000000175,26.541688129362,0,26.541688129362,0
28.047609410774,3.000300000000000175,28.047609410774,2,28.047609410774,0
28.155690204255,3.000300000000000175,28.155690204255,0,28.155690204255,0
29.047609410774,3.381370540373000095,29.047609410774,2,29.047609410774,0
29.155690204255,3.265335578809999352,29.155690204255,0,29.155690204255,0
30.155690204255,3.129396637100000142,30.155690204255,0,30.155690204255,0
30.183074844391,3.000300000000000175,30.183074844391,2,30.183074844391,0
31.155690204255,4.003522227661999695,31.155690204255,0,31.155690204255,0
31.20450671874,3.000300000000000175,31.20450671874,2,31.20450671874,0
32.155690204255,3.728294525437999755,32.155690204255,0,32.155690204255,0
32.20450671874,3.127978804957999502,32.20450671874,2,32.20450671874,0
33.155690204255,4.573564844937999727,33.155690204255,0,33.155690204255,0
34.155690204255,4.802730186470999005,34.155690204255,0,34.155690204255,0
34.971248391769,3.000300000000000175,34.971248391769,2,34.971248391769,0
35.155690204255,4.3813655063769996,35.155690204255,0,35.155690204255,0
35.971248391769,3.358605297968999525,35.971248391769,2,35.971248391769,0
36.155690204255,4.643538214620999555,36.155690204255,0,36.155690204255,0
37.101197919552,3.000300000000000175,37.101197919552,2,37.101197919552,0
