timeNode1,bufferSizeNode1,timeNode2,bufferSizeNode2,timeNode3,bufferSizeNode3,timeNode4,bufferSizeNode4,timeNode0,bufferSizeNode0,timeNode6,bufferSizeNode6,timeNode7,bufferSizeNode7
7.885332131967,1,6.885232131967,1,5.885132131967,1,4.885032131967,1,4.49280194242,1,2.425640818608,1,1.765795695688,1
7.885332131967,0,6.885232131967,0,5.885132131967,0,4.885032131967,0,4.49280194242,0,2.425640818608,0,1.765795695688,0
9.298021060373,1,9.303242656709,1,8.303142656709,1,7.303042656709,1,6.084582646629,1,2.717564164073,1,5.49290194242,1
9.298021060373,0,9.303242656709,0,8.303142656709,0,7.303042656709,0,6.084582646629,0,2.765895695688,2,5.49290194242,0
10.303342656709,1,9.757726679422,1,9.394820271014,1,15.147523244824,1,8.885432131967,1,3.425640818608,1,7.084682646629,1
10.303342656709,0,10.303242656709,0,9.394820271014,0,15.147523244824,0,8.885432131967,0,4.425640818608,0,7.084682646629,0
11.303342656709,1,10.394920271014,1,12.66423310712,1,15.603328375445,1,9.331814387883,1,6.49300194242,1,9.885532131967,1
11.303342656709,0,11.303242656709,0,12.66423310712,0,15.70545631744,2,9.885432131967,0,6.49300194242,0,9.885532131967,0
12.303342656709,1,13.66433310712,1,15.158593152199,1,16.147523244824,1,10.298121060373,1,8.084782646629,1,10.885532131967,1
12.303342656709,0,13.66433310712,0,15.158593152199,0,17.147523244824,0,10.885432131967,0,8.084782646629,0,10.885532131967,0
14.66443310712,1,13.954890943923,1,16.147623244824,1,18.001697003716,1,11.303442656709,1,10.885632131967,1,11.885532131967,1
14.66443310712,0,14.323317721248,2,16.158593152199,0,18.147523244824,0,11.885432131967,0,10.885632131967,0,11.885532131967,0
15.66443310712,1,14.66433310712,1,17.147623244824,1,25.530618296903,1,12.303442656709,1,11.885632131967,1,12.88341780587,1
15.66443310712,0,15.66433310712,0,17.158593152199,0,25.530618296903,0,12.885432131967,0,11.885632131967,0,12.885532131967,0
16.66443310712,1,16.158693152199,1,18.147623244824,1,33.556816082211,1,13.095184954447,1,12.885632131967,1,12.885532131967,1
16.66443310712,0,16.381207702461,2,18.158593152199,0,33.556816082211,0,13.303442656709,2,12.885632131967,0,13.885532131967,0
17.659077061998,1,16.66433310712,1,19.147623244824,1,39.932954593329,1,13.885432131967,1,13.885632131967,1,13.885532131967,1
17.66443310712,0,17.158693152199,2,19.158593152199,0,39.932954593329,0,14.885432131967,0,13.885632131967,0,14.885532131967,0
17.66443310712,1,17.66433310712,1,20.381655693739,1,41.469356354092,1,15.66453310712,1,14.885632131967,1,14.885532131967,1
18.66443310712,0,18.158693152199,2,20.381655693739,0,41.469356354092,0,15.885432131967,0,14.885632131967,0,15.885532131967,0
18.66443310712,1,18.66433310712,1,26.530718296903,1,48.91063048285,1,16.66453310712,1,15.885632131967,1,15.885532131967,1
19.66443310712,0,19.158693152199,2,26.530718296903,0,48.91063048285,0,16.885432131967,0,15.885632131967,0,16.885532131967,0
19.66443310712,1,19.66433310712,1,30.586116773298,1,60.555197353921,1,17.66453310712,1,16.885632131967,1,16.885532131967,1
20.66443310712,0,20.158693152199,2,30.586116773298,0,60.555197353921,0,17.885432131967,0,16.885632131967,0,17.885532131967,0
20.66443310712,1,20.66433310712,1,34.556916082211,1,61.49232768401,1,18.66453310712,1,17.885632131967,1,17.885532131967,1
21.66443310712,0,21.381755693739,2,34.556916082211,0,61.555197353921,0,18.885432131967,0,17.885632131967,0,18.885532131967,0
21.66443310712,1,21.66433310712,1,38.168796643249,1,62.182471126152,1,19.66453310712,1,18.885632131967,1,18.885532131967,1
22.66443310712,0,22.66433310712,0,38.168796643249,0,62.555197353921,0,19.885432131967,0,18.885632131967,0,19.885532131967,0
22.66443310712,1,25.318646019654,1,40.933054593329,1,69.127684575107,1,20.66453310712,1,19.292125563714,1,19.885532131967,1
23.66443310712,0,25.318646019654,0,40.933054593329,0,69.127684575107,0,20.885432131967,0,19.885632131967,0,20.885532131967,0
23.66443310712,1,27.530818296903,1,42.469456354092,1,74.167780802208,1,21.66453310712,1,19.885632131967,1,20.885532131967,1
24.66443310712,0,27.530818296903,0,42.469456354092,0,74.167780802208,0,21.885432131967,0,20.048279832039,2,21.885532131967,0
26.318746019654,1,28.527191883045,1,45.275620043718,1,76.843104187624,1,22.137031275822,1,20.885632131967,1,21.885532131967,1
26.318746019654,0,28.530818296903,0,45.275620043718,0,76.843104187624,0,22.66453310712,2,20.885632131967,2,22.885532131967,0
28.530918296903,1,31.586216773298,1,46.086302490948,1,78.244489230019,1,22.885432131967,1,21.885632131967,1,22.885532131967,1
28.530918296903,0,31.586216773298,0,46.275620043718,0,78.244489230019,0,23.66453310712,2,21.885632131967,2,23.885532131967,0
29.530918296903,1,31.621839181179,1,49.91073048285,1,80.306995379631,1,23.885432131967,1,22.885632131967,1,23.885532131967,1
29.530918296903,0,32.586216773298,0,49.91073048285,0,80.306995379631,0,24.66453310712,2,22.885632131967,2,24.885532131967,0
32.586316773298,1,35.557016082211,1,50.821285876823,1,82.214774596502,1,24.885432131967,1,23.885632131967,1,24.885532131967,1
32.586316773298,0,35.557016082211,0,50.91073048285,0,82.214774596502,0,25.66453310712,2,23.885632131967,2,25.874688235115,2
33.409926705378,1,37.30153388973,1,53.048878352079,1,82.958335942763,1,25.885432131967,1,24.885632131967,1,25.885532131967,1
33.586316773298,0,37.30153388973,0,53.048878352079,0,83.214774596502,0,26.885432131967,0,24.885632131967,2,25.885532131967,2
