Buffer Size Network.node[7].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[6].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[0].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[4].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Delay Network.node[5].app (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[1].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[3].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[2].lnk[0] (#0 - General-0-20190530-17:24:45-2957),
0.353159139138,1,0.485128163722,1,0.898560388484,1,0.977006426393,1,1.485228163722,1.000099999999999763,1.859604212075,1,1.878964054203,1,1.951545335884,1
0.353159139138,0,0.485128163722,0,0.898560388484,0,0.977006426393,0,2.485228163722,1.941715330906999871,1.859604212075,0,1.878964054203,0,1.951545335884,0
1.898660388484,1,0.543512832815,1,1.216916529326,1,1.460608531341,1,3.485228163722,3.13206902458400015,2.951645335884,1,1.977106426393,1,2.790978188784,1
1.898660388484,0,1.353259139138,2,1.866362877577,2,1.977006426393,0,4.485228163722,3.58666777523799939,2.951645335884,0,2.532846621424,2,2.864663544249,2
2.576683561174,1,1.485128163722,1,1.898560388484,1,3.029504648964,1,5.485228163722,1.626803050978999902,3.5318154124,1,2.878964054203,1,2.879064054203,3
2.898660388484,0,2.485128163722,0,2.61903699089,2,3.029504648964,0,6.485228163722,3.90854460254799994,3.951645335884,0,2.977106426393,2,2.951545335884,2
2.898660388484,1,2.898760388484,1,2.859704212075,3,3.120665675088,1,7.485228163722,3.475572197313999452,3.951645335884,1,3.03171863044,3,3.276241540492,3
3.898660388484,0,3.485128163722,0,2.898560388484,2,3.141091263487,2,8.485228163722,7.26831163439599945,4.951645335884,0,3.878964054203,2,3.879064054203,4
3.898660388484,1,3.858425112743,1,3.898560388484,1,3.600339400742,3,9.485228163722,7.61886528614499878,4.951645335884,1,4.029604648964,3,3.951545335884,3
4.898660388484,0,3.898760388484,2,3.951745335884,2,4.029504648964,2,10.485228163722,4.435257939371998842,5.951645335884,0,4.076331138748,4,4.879064054203,4
4.898660388484,1,4.009655966408,3,4.427406255165,3,5.029504648964,1,11.485228163722,4.700293518181998895,5.951645335884,1,4.878964054203,3,4.951545335884,3
5.174937647023,2,4.485128163722,2,4.898560388484,2,5.106123659379,2,12.485228163722,9.86619117283199994,6.681985341076,2,5.029604648964,4,5.063729203931,4
5.898660388484,1,4.898760388484,3,4.951745335884,3,6.029504648964,1,13.485228163722,5.67886164383299883,6.807859750514,3,5.878964054203,3,5.705438376609,5
5.898660388484,2,5.485128163722,2,5.898560388484,2,6.711363216441,2,14.485228163722,9.31029051669899838,6.951645335884,2,6.029604648964,4,5.879064054203,6
6.788939721916,3,5.898760388484,3,5.951745335884,3,7.029504648964,1,15.485228163722,7.14329592360499885,6.951645335884,3,6.11722335466,5,5.951545335884,5
6.898660388484,2,6.04997022435,4,6.898560388484,2,7.986590918665,2,16.485228163722,14.62562395164700031,6.962589431014,4,6.878964054203,4,6.324367836236,6
6.898660388484,3,6.485128163722,3,6.951745335884,3,8.029504648964,1,17.485228163722,7.808005738980998665,7.733424089481,5,7.029604648964,5,6.879064054203,7
7.661260916958,4,6.78493464554,4,7.898560388484,2,8.293871270818,2,18.485228163722,11.69628844180600063,7.845370250114,6,7.63375932865,6,6.951545335884,6
7.898660388484,3,6.898760388484,5,7.951745335884,3,9.029504648964,1,19.485228163722,17.53368282783799962,7.951645335884,5,7.878964054203,5,7.460306777946,7
7.898660388484,4,7.485128163722,4,8.272628124307,4,9.78212609657,2,20.485228163722,12.82396724676399907,7.951645335884,6,8.029604648964,6,7.879064054203,8
8.399088208714,5,7.806366519889,5,8.478831406337,5,10.029504648964,1,21.485228163722,8.93009071770299908,8.487064952145,7,8.878964054203,5,7.951545335884,7
8.898660388484,4,7.898760388484,6,8.722879897074,6,11.029504648964,0,22.485228163722,18.05782190855699546,8.951645335884,6,9.029604648964,6,8.879064054203,8
8.898660388484,5,8.341932240117,7,8.868157924366,7,12.111039470784,1,23.485228163722,9.9940291579319975,8.951645335884,7,9.055124008744,7,8.951545335884,7
9.008170631897,6,8.485128163722,6,8.887126493567,8,12.111039470784,0,24.485228163722,16.08613995500800078,9.327399657757,8,9.21726049819,8,9.879064054203,8
9.898660388484,5,8.898760388484,7,8.898560388484,7,12.298465536802,1,25.485228163722,21.95341275132199846,9.951645335884,7,9.878964054203,7,9.951545335884,7
9.898660388484,6,9.485128163722,6,8.951745335884,8,12.43649422523,2,26.485228163722,17.4770575318249967,9.951645335884,8,10.029604648964,8,10.354727255933,8
9.969551570963,7,9.677222424741,7,9.278897304244,9,13.111039470784,1,27.485228163722,10.80108251587800079,10.286947635125,9,10.164257175365,9,10.879064054203,9
10.898660388484,6,9.898760388484,8,9.530339236319,10,13.825536915021,2,28.485228163722,25.69424997493799612,10.951645335884,8,10.609775670416,10,10.929259662674,10
10.898660388484,7,10.485128163722,7,9.898560388484,9,14.111039470784,1,29.485228163722,19.51567659275900003,10.951645335884,9,10.878964054203,9,10.951545335884,9
11.114690525663,8,10.898760388484,8,9.951745335884,10,14.833556160441,2,30.485228163722,27.6205646194730007,11.236442218622,10,11.029604648964,10,11.033820888449,10
11.898660388484,7,11.485128163722,7,10.018896285627,11,15.111039470784,1,31.485228163722,11.81389262402599977,11.951645335884,9,11.878964054203,9,11.095936178915,11
11.898660388484,8,11.898760388484,8,10.616642362445,12,15.368620837524,2,32.485228163722,12.75656569760199938,11.951645335884,10,12.029604648964,10,11.879064054203,12
12.213602993214,9,12.485128163722,7,10.898560388484,11,15.648897846003,3,33.485228163722,22.37053763805899808,12.29527635011,11,12.878964054203,9,11.951545335884,11
12.449809699297,10,12.555137446019,8,10.951745335884,12,16.061399075925,4,34.485228163722,14.15661881096099956,12.738680378731,12,12.93612673211,10,12.879064054203,12
12.82877166358,11,12.898760388484,9,11.812750161902,13,16.111039470784,3,35.485228163722,15.13642868281499781,12.951645335884,11,12.975309888523,11,12.951545335884,11
