Buffer Size Network.node[0].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[7].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[6].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[5].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[4].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[3].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[2].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[1].lnk[0] (#0 - General-0-20190604-21:23:33-8154),
0.898560388484,1,0.898660388484,1,0.898760388484,1,0.899060388484,1,0.899160388484,1,0.899260388484,1,0.899360388484,1,0.899460388484,1
0.898560388484,0,0.898660388484,0,0.898760388484,0,0.899060388484,0,0.899160388484,0,0.899260388484,0,0.899360388484,0,0.899460388484,0
0.899160388484,1,1.899260388484,1,2.899360388484,1,1.859904212075,1,1.860004212075,1,1.860104212075,1,1.859604212075,1,1.859704212075,1
0.899160388484,0,1.899260388484,0,2.899360388484,0,1.859904212075,0,1.860004212075,0,1.860104212075,0,1.859604212075,0,1.859704212075,0
1.821783519955,1,2.899260388484,1,3.899360388484,1,,,,,,,,,,
1.859804212075,2,2.899260388484,2,3.899360388484,2,,,,,,,,,,
1.899160388484,1,2.899260388484,1,3.899360388484,1,,,,,,,,,,
2.899160388484,0,3.899260388484,0,4.899360388484,0,,,,,,,,,,
3.773328855839,1,4.773428855839,1,5.773528855839,1,,,,,,,,,,
3.773328855839,0,4.773428855839,0,5.773528855839,0,,,,,,,,,,
4.324377342509,1,5.773428855839,1,6.773528855839,1,,,,,,,,,,
4.773328855839,0,5.773428855839,0,6.773528855839,0,,,,,,,,,,
5.301383768902,1,6.773428855839,1,7.773528855839,1,,,,,,,,,,
5.773328855839,0,6.773428855839,0,7.773528855839,0,,,,,,,,,,
5.786511932624,1,7.773428855839,1,8.773528855839,1,,,,,,,,,,
6.139671071762,2,7.773428855839,0,8.773528855839,0,,,,,,,,,,
6.198055740855,3,8.773428855839,1,9.773528855839,1,,,,,,,,,,
6.773328855839,2,8.773428855839,0,9.773528855839,0,,,,,,,,,,
7.773328855839,1,9.773428855839,1,10.773528855839,1,,,,,,,,,,
8.773328855839,0,9.773428855839,0,10.773528855839,0,,,,,,,,,,
9.512968020783,1,10.773428855839,1,11.773528855839,1,,,,,,,,,,
9.773328855839,0,10.773428855839,0,11.773528855839,0,,,,,,,,,,
11.081864138406,1,12.081964138406,1,13.082064138406,1,,,,,,,,,,
11.081864138406,0,12.081964138406,0,13.082064138406,0,,,,,,,,,,
11.834538251719,1,13.081964138406,1,14.082064138406,1,,,,,,,,,,
12.081864138406,0,13.081964138406,0,14.082064138406,0,,,,,,,,,,
12.673971104619,1,14.081964138406,1,15.082064138406,1,,,,,,,,,,
13.081864138406,0,14.081964138406,0,15.082064138406,0,,,,,,,,,,
14.482340368894,1,15.482440368894,1,16.482540368894,1,,,,,,,,,,
14.482340368894,0,15.482440368894,0,16.482540368894,0,,,,,,,,,,
14.556025724359,1,16.482440368894,1,17.482540368894,1,,,,,,,,,,
14.967603720602,2,16.482440368894,0,17.482540368894,0,,,,,,,,,,
15.058764746726,3,17.482440368894,1,18.482540368894,1,,,,,,,,,,
15.482340368894,2,17.482440368894,0,18.482540368894,0,,,,,,,,,,
