Buffer Size Network.node[7].lnk[0] (#0 - General-0-20190604-21:03:53-7007),,Buffer Size Network.node[6].lnk[0] (#0 - General-0-20190604-21:03:53-7007),,Buffer Size Network.node[0].lnk[0] (#0 - General-0-20190604-21:03:53-7007),,Buffer Size Network.node[4].lnk[0] (#0 - General-0-20190604-21:03:53-7007),,Buffer Size Network.node[3].lnk[0] (#0 - General-0-20190604-21:03:53-7007),,Buffer Size Network.node[2].lnk[0] (#0 - General-0-20190604-21:03:53-7007),,Buffer Size Network.node[1].lnk[0] (#0 - General-0-20190604-21:03:53-7007),
1.765795695688,1,2.425640818608,1,4.49280194242,1,4.885032131967,1,5.885132131967,1,6.885232131967,1,7.885332131967,1
1.765795695688,0,2.425640818608,0,4.49280194242,0,4.885032131967,0,5.885132131967,0,6.885232131967,0,7.885332131967,0
5.49290194242,1,2.717564164073,1,6.084582646629,1,7.303042656709,1,8.303142656709,1,9.303242656709,1,9.298021060373,1
5.49290194242,0,2.765895695688,2,6.084582646629,0,7.303042656709,0,8.303142656709,0,9.303242656709,0,9.298021060373,0
7.084682646629,1,3.425640818608,1,8.885432131967,1,15.147523244824,1,9.394820271014,1,9.757726679422,1,10.303342656709,1
7.084682646629,0,4.425640818608,0,8.885432131967,0,15.147523244824,0,9.394820271014,0,10.303242656709,0,10.303342656709,0
9.885532131967,1,6.49300194242,1,9.331814387883,1,15.603328375445,1,12.66423310712,1,10.394920271014,1,11.303342656709,1
9.885532131967,0,6.49300194242,0,9.885432131967,0,15.70545631744,2,12.66423310712,0,11.303242656709,0,11.303342656709,0
10.885532131967,1,8.084782646629,1,10.298121060373,1,16.147523244824,1,15.158593152199,1,13.66433310712,1,12.303342656709,1
10.885532131967,0,8.084782646629,0,10.885432131967,0,17.147523244824,0,15.158593152199,0,13.66433310712,0,12.303342656709,0
11.885532131967,1,10.885632131967,1,11.303442656709,1,18.001697003716,1,16.147623244824,1,13.954890943923,1,14.66443310712,1
11.885532131967,0,10.885632131967,0,11.885432131967,0,18.147523244824,0,16.158593152199,0,14.323317721248,2,14.66443310712,0
12.88341780587,1,11.885632131967,1,12.303442656709,1,25.530618296903,1,17.147623244824,1,14.66433310712,1,15.66443310712,1
12.885532131967,0,11.885632131967,0,12.885432131967,0,25.530618296903,0,17.158593152199,0,15.66433310712,0,15.66443310712,0
12.885532131967,1,12.885632131967,1,13.095184954447,1,33.556816082211,1,18.147623244824,1,16.158693152199,1,16.66443310712,1
13.885532131967,0,12.885632131967,0,13.303442656709,2,33.556816082211,0,18.158593152199,0,16.381207702461,2,16.66443310712,0
13.885532131967,1,13.885632131967,1,13.885432131967,1,39.932954593329,1,19.147623244824,1,16.66433310712,1,17.659077061998,1
14.885532131967,0,13.885632131967,0,14.885432131967,0,39.932954593329,0,19.158593152199,0,17.158693152199,2,17.66443310712,0
14.885532131967,1,14.885632131967,1,15.66453310712,1,41.469356354092,1,20.381655693739,1,17.66433310712,1,17.66443310712,1
15.885532131967,0,14.885632131967,0,15.885432131967,0,41.469356354092,0,20.381655693739,0,18.158693152199,2,18.66443310712,0
15.885532131967,1,15.885632131967,1,16.66453310712,1,48.91063048285,1,26.530718296903,1,18.66433310712,1,18.66443310712,1
16.885532131967,0,15.885632131967,0,16.885432131967,0,48.91063048285,0,26.530718296903,0,19.158693152199,2,19.66443310712,0
16.885532131967,1,16.885632131967,1,17.66453310712,1,60.555197353921,1,30.586116773298,1,19.66433310712,1,19.66443310712,1
17.885532131967,0,16.885632131967,0,17.885432131967,0,60.555197353921,0,30.586116773298,0,20.158693152199,2,20.66443310712,0
17.885532131967,1,17.885632131967,1,18.66453310712,1,61.49232768401,1,34.556916082211,1,20.66433310712,1,20.66443310712,1
18.885532131967,0,17.885632131967,0,18.885432131967,0,61.555197353921,0,34.556916082211,0,21.381755693739,2,21.66443310712,0
18.885532131967,1,18.885632131967,1,19.66453310712,1,62.182471126152,1,38.168796643249,1,21.66433310712,1,21.66443310712,1
19.885532131967,0,18.885632131967,0,19.885432131967,0,62.555197353921,0,38.168796643249,0,22.66433310712,0,22.66443310712,0
19.885532131967,1,19.292125563714,1,20.66453310712,1,69.127684575107,1,40.933054593329,1,25.318646019654,1,22.66443310712,1
20.885532131967,0,19.885632131967,0,20.885432131967,0,69.127684575107,0,40.933054593329,0,25.318646019654,0,23.66443310712,0
20.885532131967,1,19.885632131967,1,21.66453310712,1,74.167780802208,1,42.469456354092,1,27.530818296903,1,23.66443310712,1
21.885532131967,0,20.048279832039,2,21.885432131967,0,74.167780802208,0,42.469456354092,0,27.530818296903,0,24.66443310712,0
21.885532131967,1,20.885632131967,1,22.137031275822,1,76.843104187624,1,45.275620043718,1,28.527191883045,1,26.318746019654,1
22.885532131967,0,20.885632131967,2,22.66453310712,2,76.843104187624,0,45.275620043718,0,28.530818296903,0,26.318746019654,0
22.885532131967,1,21.885632131967,1,22.885432131967,1,78.244489230019,1,46.086302490948,1,31.586216773298,1,28.530918296903,1
23.885532131967,0,21.885632131967,2,23.66453310712,2,78.244489230019,0,46.275620043718,0,31.586216773298,0,28.530918296903,0
23.885532131967,1,22.885632131967,1,23.885432131967,1,80.306995379631,1,49.91073048285,1,31.621839181179,1,29.530918296903,1
24.885532131967,0,22.885632131967,2,24.66453310712,2,80.306995379631,0,49.91073048285,0,32.586216773298,0,29.530918296903,0
24.885532131967,1,23.885632131967,1,24.885432131967,1,82.214774596502,1,50.821285876823,1,35.557016082211,1,32.586316773298,1
25.874688235115,2,23.885632131967,2,25.66453310712,2,82.214774596502,0,50.91073048285,0,35.557016082211,0,32.586316773298,0
25.885532131967,1,24.885632131967,1,25.885432131967,1,82.958335942763,1,53.048878352079,1,37.30153388973,1,33.409926705378,1
25.885532131967,2,24.885632131967,2,26.885432131967,0,83.214774596502,0,53.048878352079,0,37.30153388973,0,33.586316773298,0
26.885532131967,1,25.885632131967,1,27.318846019654,1,84.052738925299,1,61.555297353921,1,39.168896643249,1,33.586316773298,1
26.885532131967,2,25.885632131967,2,27.885432131967,0,84.214774596502,0,61.555297353921,0,39.168896643249,0,34.039298752568,2
27.885532131967,1,26.885632131967,1,29.531018296903,1,86.352808714,1,62.555297353921,1,41.933154593329,1,34.586316773298,1
27.885532131967,2,26.885632131967,2,29.531018296903,0,86.352808714,0,62.555297353921,0,41.933154593329,0,34.812947155068,2
28.885532131967,1,27.885632131967,1,30.531018296903,1,86.421131606154,1,63.555297353921,1,43.469556354092,1,35.586316773298,1
28.885532131967,2,27.885632131967,2,30.531018296903,0,86.931856013779,2,63.555297353921,0,43.469556354092,0,36.557116082211,2
29.885532131967,1,28.885632131967,1,33.586416773298,1,87.352808714,1,64.680633660551,1,46.275720043718,1,36.586316773298,1
30.531118296903,2,28.885632131967,2,33.586416773298,0,88.352808714,0,64.680633660551,0,46.275720043718,0,37.586316773298,0
30.885532131967,1,29.885632131967,1,34.586416773298,1,91.807365684561,1,64.876549442616,1,47.275720043718,1,38.30163388973,1
31.531118296903,2,29.885632131967,2,34.586416773298,0,91.807365684561,0,65.680633660551,0,47.275720043718,0,38.586316773298,0
31.885532131967,1,30.249851121748,3,35.586416773298,1,110.552522982483,1,67.763170996649,1,50.91083048285,1,38.667120447405,1
32.885532131967,0,30.885632131967,2,35.586416773298,0,110.552522982483,0,67.763170996649,0,50.91083048285,0,39.226851250568,2
33.944698609578,1,30.885632131967,3,36.586416773298,1,110.884009989894,1,68.301346537429,1,51.773636279665,1,39.586316773298,1
33.944698609578,0,31.885632131967,2,36.586416773298,0,111.552522982483,0,68.763170996649,0,51.91083048285,0,40.168996643249,2
34.586516773298,1,31.885632131967,3,37.586416773298,1,112.105987230303,1,70.127784575107,1,51.91083048285,1,40.586316773298,1
34.944698609578,0,32.885632131967,2,37.586416773298,0,112.552522982483,0,70.127784575107,0,52.91083048285,0,41.586316773298,0
35.586516773298,1,32.885632131967,3,38.586416773298,1,118.001934865629,1,73.59047860419,1,54.048978352079,1,42.435324760724,1
35.944698609578,0,33.885632131967,2,38.586416773298,0,118.001934865629,0,73.59047860419,0,54.048978352079,0,42.586316773298,0
36.586516773298,1,33.885632131967,3,39.586416773298,1,121.705729617864,1,75.050881270526,1,54.646298313371,1,42.933254593329,1
36.944698609578,0,33.924673227697,4,39.586416773298,0,121.705729617864,0,75.050881270526,0,55.048978352079,0,43.586316773298,0
37.586516773298,1,34.885632131967,3,40.586416773298,1,122.139582029562,1,75.167880802208,1,55.169104442247,1,44.469656354092,1
37.944698609578,0,34.944798609578,4,40.586416773298,0,122.705729617864,0,76.050881270526,0,55.479680894579,2,44.586316773298,0
38.306304584789,1,35.885632131967,3,41.363140621531,1,135.385861672944,1,77.843204187624,1,56.048978352079,1,46.636998288785,1
38.586516773298,2,35.944798609578,4,41.586416773298,0,135.385861672944,0,77.843204187624,0,57.048978352079,0,46.636998288785,0
38.944698609578,1,36.885632131967,3,41.586416773298,1,141.049032382806,1,78.190589175482,1,62.555397353921,1,47.275820043718,1
39.586516773298,2,36.944798609578,4,42.394157031683,2,141.049032382806,0,78.843204187624,0,62.555397353921,0,47.636998288785,0
39.944698609578,1,37.885632131967,3,42.586416773298,1,148.104154429278,1,79.056226456213,1,63.555397353921,1,48.275820043718,1
40.586516773298,2,37.944798609578,4,42.586416773298,2,148.104154429278,0,79.244589230019,2,63.555397353921,0,48.636998288785,0
40.944698609578,1,38.885632131967,3,43.586416773298,1,153.802194246943,1,79.641003505175,3,64.555397353921,1,51.434738175626,1
41.586516773298,2,38.944798609578,4,43.586416773298,2,153.802194246943,0,79.843204187624,2,64.555397353921,0,51.434738175626,0
41.944698609578,1,39.031832599443,5,43.614399485366,3,159.813387083176,1,80.843204187624,1,65.680733660551,1,51.91093048285,1
41.995441043569,2,39.885632131967,4,44.340789621827,4,159.813387083176,0,81.307095379631,2,65.680733660551,0,52.434738175626,0
42.586516773298,3,39.944798609578,5,44.435632467832,5,162.338480821949,1,81.843204187624,1,66.680733660551,1,52.91093048285,1
42.944698609578,2,40.885632131967,4,44.586416773298,4,162.338480821949,0,82.843204187624,0,66.680733660551,0,53.434738175626,0
43.586516773298,3,40.944798609578,5,44.586416773298,5,163.775533202299,1,83.214874596502,1,68.763270996649,1,53.91093048285,1
43.944698609578,2,41.709661200582,6,45.586416773298,4,163.775533202299,0,83.843204187624,0,68.763270996649,0,54.434738175626,0
44.586516773298,3,41.885632131967,5,45.586416773298,5,174.449685452215,1,84.214874596502,1,69.763270996649,1,55.049078352079,1
44.944698609578,2,41.944798609578,6,46.394486521216,6,174.449685452215,0,84.843204187624,0,69.763270996649,0,55.434738175626,0
45.040853159484,3,42.885632131967,5,46.586416773298,5,179.613670505442,1,84.981364490923,1,71.127884575107,1,56.049078352079,1
